,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
2020.1.27,安徽,106,36,106,74,38,,,,,,,,1719,,,,,,,,,,,
2020.1.27,福建,59,24,59,46,31,,,,,,,,,,,,,,,,,,,
2020.1.27,江西,72,24,70,,,2,2,0,0,,7,0,2099,44,2018,,,,,,,,,
2020.1.27,山东,87,24,87,42,,0,0,0,0,0,0,0,2110,0,2093,,,,,,,,,
2020.1.27,河南,168,40,167,100,,0,0,1,0,,30,2,2225,74,1961,,,,,,,,,
2020.1.27,湖北,2714,1291,2567,,,47,3,100,24,2567,563,127,16904,,15559,,,,,,,,,
2020.1.27,湖南,221,78,221,,,0,0,0,0,,38,,3307,44,3212,,,,,,,,,
2020.1.27,广东,188,42,184,,,4,2,,,,23,6,1019,,1019,,,,,,,,,
2020.1.27,广西,51,5,,,,,,,,,5,0,492,,455,,,,,,,,,
2020.1.27,海南（1月26日7点-1月27日16点）,33,2,32,,,0,0,1,,,5,,474,24,450,,,,,,,,,
2020.1.27,重庆,132,22,132,,,0,0,0,0,,13,3,1447,2,1445,,,,,,,,,
2020.1.27,四川,90,21,90,,,,,,,90,,2,,80,1264,,,,,,,,,
2020.1.27,贵州,9,2,9,1,0,0,0,0,0,9,1,,185,2+1人确诊,182,182,,,,,,,,
2020.1.27,云南,26,7,26,,90,,,,,,1,,496,,,,,,,,,,,
2020.1.27,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.27,陕西,35,13,35,,,,,,,,2,,559,,286,,,,,,,,,
2020.1.27,甘肃,19,5,19,,,0,0,0,0,,4,0,277,2,,,,,,,,,,
2020.1.27,青海,6,2,6,,,,,,,,,,40,,192,,,,,,,,,
2020.1.27,宁夏,11,4,11,,,,,,,,,,471,,471,,,,,,,,,
